05732000,Customs  	COTHEN Network,USB
05905000,Customs COTHEN Network,USB
05909000,Customs COTHEN Network,USB
07527000,Customs COTHEN Network,USB
08912000,Customs COTHEN Network,USB
10240000,Customs COTHEN Network,USB
11494000,Customs COTHEN Network,USB
12222000,Customs COTHEN Network,USB
13312000,Customs COTHEN Network,USB
13907000,Customs COTHEN Network,USB
14582000,Customs COTHEN Network,USB
15867000,Customs COTHEN Network,USB
18594000,Customs COTHEN Network,USB
20662000,Customs COTHEN Network,USB
20890000,Customs COTHEN Network,USB
23214000,Customs COTHEN Network,USB
24838000,Customs COTHEN Network,USB
25530000,Customs COTHEN Network,USB 
